RUBY,DEFAULTQ
あんどろいどすまーとふぉん,Androidスマートフォン
ちょうこうそうけんちく,超高層建築
どいつれんぽうきょうわこく,ドイツ連邦共和国
ちかてつはんぞうもんせん,地下鉄半蔵門線
やまのてせんうちまわり,山手線内回り
やまのてせんそとまわり,山手線外回り
けいひんとうほくせん,京浜東北線
しょうなんしんじゅくらいん,湘南新宿ライン
ちかてつまるのうちせん,地下鉄丸の内線
きょうごくめいすいのさと,京極名水の里
さっぽろしやくしょ,札幌市役所
ちゅうおうくやくしょ,中央区役所
けいたいでんわつうしん,携帯電話通信
むせんきーぼーど,無線キーボード
ふつうじどうしゃめんきょ,普通自動車免許
ふつうにりんめんきょ,普通二輪免許
おおがたとくしゅじどうしゃ,大型特殊自動車
こがたとくしゅじどうしゃ,小型特殊自動車
げんどうきつきじてんしゃ,原動機付自転車
うんてんめんきょしけんじょう,運転免許試験場
じどうしゃがっこう,自動車学校
ないかくそうりだいじん,内閣総理大臣
あめりかがっしゅうこく,アメリカ合衆国
こうせいねんきん,厚生年金
